Row,Column,ESP,ID,FrameCnt,Latitude,Longitude,RSSI,SNR,Time
352,270,-127.32921342015459,157664,7198,40.00004333,116.3283433,-112,-15.2,2019-03-09T04:28:10.505317526Z
352,270,-128.9127546295178,157668,7200,40.00002833,116.3283533,-113,-15.8,2019-03-09T04:28:28.572599862Z
351,269,-126.40304509533891,157670,7201,40.00006667,116.3282133,-113,-13.2,2019-03-09T04:28:37.571385856Z
352,269,-125.40304509533891,157672,7202,40.00005833,116.32823,-112,-13.2,2019-03-09T04:28:47.274752373Z
351,269,-126.94147873593693,157674,7203,40.000075,116.3281717,-112,-14.8,2019-03-09T04:28:57.123152615Z
351,268,-128.62070769249442,157676,7204,40.0001,116.3280683,-113,-15.5,2019-03-09T04:29:07.132380661Z
351,268,-128.9127546295178,157678,7205,40.000085,116.3280817,-113,-15.8,2019-03-09T04:29:17.586375931Z
351,268,-129.3620527769611,157680,7206,40.00008833,116.3280983,-115,-14.2,2019-03-09T04:29:26.73414267Z
351,269,-126.16954289279532,157682,7207,40.00008,116.32814,-112,-14.0,2019-03-09T04:29:35.635688178Z
352,269,-124.7376019773414,157684,7208,40.00004167,116.3281833,-112,-12.5,2019-03-09T04:29:44.144827724Z
352,269,-126.40304509533891,157686,7209,40.00002167,116.3282283,-113,-13.2,2019-03-09T04:29:54.103106515Z
352,269,-126.16954289279532,157688,7210,40.0,116.3282317,-112,-14.0,2019-03-09T04:29:59.265851329Z
352,269,-127.94147873593693,157692,7212,40.00000833,116.32819170000002,-113,-14.8,2019-03-09T04:30:10.506390531Z
352,268,-127.1352092210804,157694,7213,40.00003833,116.3281333,-112,-15.0,2019-03-09T04:30:19.462235311Z
351,269,-125.65142276599207,157698,7215,40.00008333,116.3281467,-111,-14.5,2019-03-09T04:30:37.148772743Z
350,268,-127.36205277696112,157700,7216,40.00017,116.3281133,-113,-14.2,2019-03-09T04:30:42.491306456Z
349,268,-126.68978441047736,157702,7217,40.00027333,116.328105,-113,-13.5,2019-03-09T04:30:51.366673833Z
350,268,-129.08579999230037,157704,7218,40.000215,116.3280333,-112,-17.0,2019-03-09T04:31:01.060694303Z
350,267,-128.13520922108037,157706,7219,40.000205,116.3279917,-113,-15.0,2019-03-09T04:31:11.400548002Z
351,268,-126.94147873593693,157708,7220,40.00012667,116.3280967,-112,-14.8,2019-03-09T04:31:21.433842169Z
351,268,-125.21238401914258,157712,7222,40.000105,116.3281367,-112,-13.0,2019-03-09T04:31:35.802607013Z
350,267,-126.16954289279532,157714,7223,40.00015667,116.3280033,-112,-14.0,2019-03-09T04:31:45.150297751Z
350,268,-132.3620527769611,157716,7224,40.00017,116.3280433,-118,-14.2,2019-03-09T04:31:51.085057425Z
350,268,-126.36205277696112,157718,7225,40.00015833,116.3281167,-112,-14.2,2019-03-09T04:31:59.672832364Z
351,269,-125.68978441047736,157722,7227,40.00011167,116.32821,-112,-13.5,2019-03-09T04:32:19.008264041Z
351,269,-125.16954289279532,157726,7229,40.00007667,116.3282483,-111,-14.0,2019-03-09T04:32:34.390798953Z
351,269,-126.68978441047736,157728,7230,40.00006667,116.3282383,-113,-13.5,2019-03-09T04:32:39.925812629Z
351,269,-127.16954289279532,157732,7232,40.00007333,116.3282283,-113,-14.0,2019-03-09T04:32:51.256537539Z
351,269,-124.26572375596102,157736,7235,40.00009333,116.328215,-112,-12.0,2019-03-09T04:33:12.003636021Z
351,269,-125.26572375596102,157740,7237,40.00009667,116.32821,-113,-12.0,2019-03-09T04:33:23.04001424Z
351,269,-125.40304509533891,157744,7239,40.000095,116.3282283,-112,-13.2,2019-03-09T04:33:34.032390194Z
351,270,-123.7376019773414,157746,7240,40.00007667,116.3282717,-111,-12.5,2019-03-09T04:33:43.740590443Z
351,269,-125.21238401914258,157748,7241,40.00011333,116.32819,-112,-13.0,2019-03-09T04:33:54.254919529Z
