Row,Column,ESP,ID,FrameCnt,Latitude,Longitude,RSSI,SNR,Time
77,293,-130.08579999230037,154204,48,40.02484833,116.3307767,-113,-17.0,2019-03-09T01:32:52.400271801Z
101,294,-127.30295006837878,154214,51,40.02263667,116.33086000000002,-111,-16.2,2019-03-09T01:33:14.097309681Z
146,295,-126.36205277696112,154228,55,40.01861167,116.3310117,-112,-14.2,2019-03-09T01:33:43.479925359Z
169,295,-123.1469917995764,154236,57,40.01651,116.331105,-112,-10.8,2019-03-09T01:34:03.213434494Z
176,295,-125.40304509533891,154240,58,40.01592167,116.331115,-112,-13.2,2019-03-09T01:34:12.206823447Z
182,295,-125.68978441047736,154242,59,40.01537333,116.3311333,-112,-13.5,2019-03-09T01:34:17.747364231Z
191,295,-123.8707776445072,154246,60,40.01457333,116.331135,-113,-10.5,2019-03-09T01:34:26.22145355Z
199,295,-127.65142276599207,154254,62,40.01385167,116.33114170000002,-113,-14.5,2019-03-09T01:34:40.395106765Z
202,297,-123.23249407632484,154257,63,40.013565,116.3313283,-113,-9.8,2019-03-09T01:34:51.25145676Z
202,301,-123.23249407632484,154259,64,40.013545,116.3317883,-113,-9.8,2019-03-09T01:34:56.641218488Z
202,306,-122.69305820175224,154265,66,40.013565,116.3324467,-113,-9.2,2019-03-09T01:35:10.455016185Z
202,313,-119.62401015882706,154268,67,40.0136,116.333255,-112,-6.8,2019-03-09T01:35:15.763881347Z
201,322,-121.96183611348222,154275,69,40.01363,116.3342683,-112,-9.5,2019-03-09T01:35:30.179689257Z
201,331,-121.32921342015459,154278,70,40.01368,116.335365,-106,-15.2,2019-03-09T01:35:40.413792896Z
200,341,-126.16954289279532,154281,71,40.01371333,116.33646670000002,-112,-14.0,2019-03-09T01:35:46.104254729Z
200,349,-128.5961540844014,154287,73,40.01372333,116.3374183,-112,-16.5,2019-03-09T01:35:57.100943706Z
212,359,-122.5149694202523,154307,81,40.01266167,116.3385817,-113,-9.0,2019-03-09T01:37:02.914643402Z
221,355,-121.69305820175224,154313,83,40.01184667,116.3381617,-112,-9.2,2019-03-09T01:37:14.123967867Z
230,352,-107.24814186348229,154316,84,40.01102,116.3377933,-103,-2.2,2019-03-09T01:37:19.842521897Z
240,349,-114.89859540490393,154324,86,40.01019333,116.33743,-110,-3.2,2019-03-09T01:37:34.306890148Z
248,345,-119.57833241382157,154331,87,40.00941333,116.3370217,-113,-5.5,2019-03-09T01:37:43.424462971Z
257,341,-121.63892034143379,154335,88,40.00861333,116.3366017,-113,-8.0,2019-03-09T01:37:53.277967945Z
265,338,-123.33195619988427,154345,90,40.00787833,116.33621,-112,-11.0,2019-03-09T01:38:04.239095673Z
270,336,-118.95746206410163,154348,91,40.00745833,116.3359983,-111,-7.2,2019-03-09T01:38:12.762804339Z
271,336,-120.46683163887968,154353,92,40.00739333,116.336,-112,-7.8,2019-03-09T01:38:22.09871069Z
275,334,-121.0738221927363,154357,93,40.00701667,116.335795,-112,-8.5,2019-03-09T01:38:31.28148297Z
283,331,-123.23249407632484,154361,94,40.00623833,116.3354217,-113,-9.8,2019-03-09T01:38:40.076409534Z
293,327,-118.97322793708695,154369,96,40.00534833,116.3349767,-112,-6.0,2019-03-09T01:38:51.026062182Z
303,323,-119.76434862436486,154377,98,40.00449667,116.3345333,-115,-3.0,2019-03-09T01:39:04.934109538Z
307,321,-113.53901891043868,154382,99,40.00408167,116.3342983,-111,1.0,2019-03-09T02:50:49.993833956Z
307,321,-107.93775920356249,154384,100,40.00406,116.3342783,-106,2.5,2019-03-09T01:39:20.191037337Z
308,321,-114.53901891043868,154394,102,40.00404667,116.3342583,-112,1.0,2019-03-09T01:39:37.15001305Z
308,321,-115.45161530835512,154398,103,40.00402833,116.3342517,-113,1.2,2019-03-09T01:39:47.322503257Z
313,319,-110.53901891043868,154402,104,40.00356167,116.3340483,-107,-1.0,2019-03-09T01:39:56.429048003Z
319,317,-114.57833241382157,154408,105,40.00298833,116.3338417,-108,-5.5,2019-03-09T01:40:06.613157292Z
332,312,-121.69305820175224,154414,107,40.001825,116.333245,-112,-9.2,2019-03-09T01:40:22.779806458Z
340,309,-123.51754855702923,154418,108,40.00109333,116.3328517,-112,-11.2,2019-03-09T01:40:32.785431498Z
348,307,-116.45540463109293,154424,110,40.000415,116.332635,-111,-4.0,2019-03-09T01:40:43.396453775Z
355,304,-116.37736039420678,154432,112,39.99972667,116.3322917,-109,-6.5,2019-03-09T01:40:57.840360882Z
360,302,-116.79009749652565,154436,113,39.99934167,116.3320817,-109,-7.0,2019-03-09T01:41:03.451607161Z
361,298,-112.62869465226149,154442,115,39.99926333,116.3315867,-110,0.8,2019-03-09T01:41:14.22155955Z
361,296,-113.63215008122023,154448,116,39.99926,116.3313217,-109,-2.8,2019-03-09T01:41:23.165152156Z
360,293,-109.81879480002064,154456,118,39.99933,116.33106,-104,-4.5,2019-03-09T01:41:38.182788279Z
353,293,-118.45540463109293,154460,119,39.99991,116.3309833,-113,-4.0,2019-03-09T01:41:48.364446551Z
344,292,-117.45540463109293,154464,120,40.000725,116.3309267,-112,-4.0,2019-03-09T01:41:53.488543419Z
335,292,-117.24814186348229,154472,122,40.00158167,116.3308617,-113,-2.2,2019-03-09T01:42:04.198938392Z
325,292,-114.20289472231207,154476,123,40.00246,116.3308417,-112,1.8,2019-03-09T01:42:12.787634513Z
315,291,-117.89859540490393,154480,124,40.003355,116.3307983,-113,-3.2,2019-03-09T01:42:21.937434562Z
304,291,-118.82474080687588,154485,126,40.00432,116.330745,-115,-1.5,2019-03-09T01:42:33.315667209Z
296,291,-114.76749156458187,154489,127,40.00511833,116.3306717,-112,0.5,2019-03-09T01:42:42.276716937Z
293,290,-111.53901891043868,154495,128,40.00537333,116.3306467,-109,1.0,2019-03-09T01:42:51.638504469Z
292,291,-113.76749156458187,154501,130,40.0054,116.3306817,-111,0.5,2019-03-09T01:43:07.249867749Z
292,291,-99.07833241382157,154505,131,40.00542,116.330705,-98,5.5,2019-03-09T01:43:17.213838496Z
292,291,-112.83215008122022,154509,132,40.005435,116.3307183,-111,2.8,2019-03-09T01:43:22.622683358Z
292,290,-113.20289472231207,154515,134,40.00539833,116.330645,-111,1.8,2019-03-09T01:43:33.307910155Z
299,291,-118.11145114746678,154520,135,40.00478,116.3306933,-115,-0.2,2019-03-09T01:43:43.837297861Z
308,291,-118.04220837241459,154526,136,40.00396333,116.3306983,-112,-4.8,2019-03-09T01:43:49.707529952Z
317,291,-115.00289472231206,154532,138,40.00316,116.330755,-111,-1.8,2019-03-09T01:44:00.940287582Z
324,291,-117.45540463109293,154538,139,40.00257167,116.3308033,-112,-4.0,2019-03-09T01:44:09.877104139Z
325,291,-122.96183611348222,154548,141,40.00242,116.3308017,-113,-9.5,2019-03-09T01:44:28.433035031Z
326,291,-118.81879480002064,154552,143,40.002405,116.33071499999998,-113,-4.5,2019-03-09T01:44:39.626912388Z
326,289,-113.43775920356249,154560,145,40.00236333,116.330565,-109,-2.5,2019-03-09T01:44:55.383493684Z
331,290,-116.45540463109293,154563,146,40.00189,116.330615,-111,-4.0,2019-03-09T01:45:00.700648904Z
338,290,-114.43775920356249,154567,147,40.00127,116.3306217,-110,-2.5,2019-03-09T01:45:11.534710742Z
345,290,-114.65161530835512,154575,149,40.00066500000001,116.3306467,-111,-1.2,2019-03-09T01:45:23.006545045Z
351,290,-112.91145114746678,154581,151,40.00016333,116.33062,-110,0.2,2019-03-09T01:45:34.004714032Z
351,286,-110.76749156458187,154585,152,40.00011167,116.330185,-108,0.5,2019-03-09T01:45:39.349651447Z
351,284,-105.14609373817282,154591,154,40.00008167,116.3300083,-104,5.2,2019-03-09T01:45:54.237586663Z
352,284,-106.45540463109293,154595,155,39.999985,116.3299717,-105,4.0,2019-03-09T01:45:59.822508757Z
352,284,-101.19331048066094,154601,157,39.99998333,116.3299783,-100,5.0,2019-03-09T01:46:11.089882539Z
353,284,-111.19331048066094,154605,158,39.999905,116.3299633,-105,-5.0,2019-03-09T01:46:20.494588967Z
357,284,-114.53901891043868,154613,160,39.99960667,116.32995,-112,1.0,2019-03-09T01:46:32.013719082Z
356,281,-119.43775920356249,154617,162,39.99962167,116.3296083,-115,-2.5,2019-03-09T01:46:48.097256513Z
353,281,-114.20289472231207,154623,163,39.99990667,116.32959,-112,1.8,2019-03-09T01:46:57.393760031Z
353,281,-114.32474080687588,154627,164,39.99992167,116.3295783,-112,1.5,2019-03-09T02:58:40.924021379Z
357,276,-116.31329815912464,156265,7,39.99959667,116.3290533,-111,-3.8,2019-03-09T03:30:21.090289097Z
353,275,-115.89859540490393,156269,8,39.99993333,116.328905,-111,-3.2,2019-03-09T03:30:30.759798402Z
351,272,-112.00289472231206,156273,9,40.00010167,116.32859170000002,-108,-1.8,2019-03-09T03:30:39.431078689Z
349,270,-110.76434862436486,156281,11,40.00024667,116.3282933,-106,-3.0,2019-03-09T03:30:55.389041109Z
344,269,-116.42869465226148,156285,12,40.00074167,116.32815829999998,-113,-0.8,2019-03-09T03:31:00.81414107Z
338,267,-110.24814186348229,156289,13,40.00124833,116.3279917,-106,-2.2,2019-03-09T03:31:10.346757733Z
331,267,-115.00289472231206,156295,14,40.001875,116.3279483,-111,-1.8,2019-03-09T03:31:20.489641551Z
327,266,-114.42869465226148,156299,15,40.002225,116.32785,-111,-0.8,2019-03-09T03:31:29.82979068Z
326,262,-110.69859540490393,156305,16,40.00235333,116.3274067,-109,3.2,2019-03-09T03:31:38.618345526Z
326,260,-106.5993868649763,156309,17,40.00238,116.3271583,-101,-4.2,2019-03-09T03:31:47.155433378Z
325,256,-108.53901891043868,156315,18,40.00240167,116.32666670000002,-106,1.0,2019-03-09T03:31:57.179025283Z
325,250,-115.0102999566398,156321,20,40.002395,116.3259833,-112,0.0,2019-03-09T03:32:11.201335194Z
325,247,-115.76434862436486,156325,21,40.00239000000001,116.32561,-111,-3.0,2019-03-09T03:32:20.416845332Z
325,244,-100.32474080687588,156329,22,40.00240333,116.3252167,-98,1.5,2019-03-09T03:32:30.103262586Z
321,243,-104.62869465226149,156333,23,40.00277333,116.3251117,-102,0.8,2019-03-09T03:32:36.06734273Z
316,242,-111.76434862436486,156340,25,40.00323667,116.325045,-110,3.0,2019-03-09T03:32:52.910298461Z
314,240,-114.60373555853748,156344,26,40.00337833,116.324795,-113,3.5,2019-03-09T03:32:58.516216097Z
314,237,-108.20289472231207,156349,27,40.00339667,116.32445,-106,1.8,2019-03-09T03:33:06.740690444Z
313,231,-116.42869465226148,156359,30,40.00349167,116.3237417,-113,-0.8,2019-03-09T03:33:27.850340102Z
313,227,-118.81879480002064,156360,31,40.00348167,116.3232733,-113,-4.5,2019-03-09T03:33:36.73501641Z
313,224,-116.37736039420678,156368,33,40.003505,116.3229067,-109,-6.5,2019-03-09T03:33:48.301521809Z
313,222,-118.31329815912464,156372,34,40.00346667,116.32268,-113,-3.8,2019-03-09T03:33:56.821288927Z
314,222,-118.81412565612068,156377,36,40.00342667,116.3226383,-112,-5.8,2019-03-09T03:34:08.485044149Z
314,222,-122.37736039420678,156384,38,40.00340167,116.32260829999998,-115,-6.5,2019-03-09T03:34:22.736725632Z
314,222,-126.46683163887968,156388,39,40.00344167,116.3226467,-118,-7.8,2019-03-09T03:34:32.914112858Z
314,222,-120.95746206410163,156392,40,40.00345,116.3226633,-113,-7.2,2019-03-09T03:34:38.859673403Z
314,222,-121.19331048066094,156400,42,40.00341333,116.322665,-115,-5.0,2019-03-09T03:34:54.147559524Z
314,222,-121.57833241382157,156404,43,40.00341833,116.3226533,-115,-5.5,2019-03-09T03:35:03.404000959Z
314,222,-122.95746206410163,156408,44,40.00343667,116.3226633,-115,-7.2,2019-03-09T03:35:12.70893591Z
314,222,-118.97322793708695,156414,45,40.00343167,116.3226817,-112,-6.0,2019-03-09T03:35:21.718049819Z
314,222,-119.97322793708695,156418,46,40.00341833,116.322685,-113,-6.0,2019-03-09T03:35:31.292069079Z
314,222,-121.34609373817284,156422,47,40.00342,116.3226667,-115,-5.2,2019-03-09T03:35:41.661105388Z
314,222,-122.33779541063677,156426,48,40.00343,116.3226517,-113,-8.8,2019-03-09T03:35:47.307485925Z
313,222,-120.63892034143379,156434,50,40.00345667,116.32265,-112,-8.0,2019-03-09T03:36:02.534276657Z
313,222,-120.37736039420678,156438,51,40.00348667,116.3226517,-113,-6.5,2019-03-09T03:36:07.550723492Z
313,222,-120.81209675612978,156442,52,40.00346667,116.3226467,-112,-8.2,2019-03-09T03:36:16.264126358Z
314,222,-119.95746206410163,156448,54,40.00344333,116.3226317,-112,-7.2,2019-03-09T03:36:30.80197298Z
314,221,-120.37736039420678,156452,55,40.00336833,116.3225767,-113,-6.5,2019-03-09T03:36:38.880728192Z
315,221,-121.2108185264953,156462,57,40.00334333,116.32256329999998,-113,-7.5,2019-03-09T03:36:54.772393287Z
315,221,-119.97322793708695,156466,58,40.00332167,116.322545,-113,-6.0,2019-03-09T03:37:04.726798211Z
315,221,-119.33779541063677,156470,59,40.00331167,116.322525,-110,-8.8,2019-03-09T03:37:14.63025105Z
315,221,-117.97322793708695,156472,60,40.00330833,116.3225367,-111,-6.0,2019-03-09T03:37:20.490364817Z
315,221,-120.95746206410163,156478,61,40.00331167,116.3225483,-113,-7.2,2019-03-09T03:37:30.303542505Z
315,221,-118.19331048066094,156484,63,40.00332667,116.3225483,-112,-5.0,2019-03-09T03:37:40.731249218Z
315,221,-119.79009749652565,156488,64,40.00335167,116.32254170000002,-112,-7.0,2019-03-09T03:37:46.369901616Z
