Row,Column,ESP,ID,FrameCnt,Latitude,Longitude,RSSI,SNR,Time
362,302,-89.66683163887969,103625,66,39.99909167,116.33205500000001,-89,7.8,2018-12-27T09:14:55.096634386Z
362,302,-91.61209675612976,103629,68,39.99912833,116.3320517,-91,8.2,2018-12-27T09:15:10.628559514Z
362,302,-87.61209675612976,103631,69,39.99913333,116.33204170000002,-87,8.2,2018-12-27T09:15:20.396021584Z
362,302,-100.93380807687734,103633,70,39.99912167,116.3320817,-100,6.2,2018-12-27T09:15:30.379831519Z
362,310,-97.53779541063679,103637,72,39.99912333,116.33296170000001,-97,8.8,2018-12-27T09:15:45.234766939Z
361,312,-94.5738221927363,103643,75,39.99926833,116.33318670000001,-94,8.5,2018-12-27T09:16:15.797867021Z
361,311,-96.75746206410165,103645,76,39.999265,116.33317,-96,7.2,2018-12-27T09:16:21.355290447Z
360,311,-93.43249407632486,103647,77,39.99928833,116.3331467,-93,9.8,2018-12-27T09:16:31.465728342Z
360,313,-91.87736039420678,103660,84,39.99928333,116.3333317,-91,6.5,2018-12-27T09:17:36.906743932Z
359,317,-89.5149694202523,103662,85,39.99941667,116.33381170000001,-89,9.0,2018-12-27T09:17:41.959322406Z
354,317,-99.97322793708695,103666,87,39.99989167,116.3338767,-99,6.0,2018-12-27T09:17:53.047520524Z
344,317,-102.79009749652565,103668,88,40.00072833,116.3338267,-102,7.0,2018-12-27T09:18:01.311500884Z
334,317,-106.45540463109293,103673,91,40.00162833,116.333805,-105,4.0,2018-12-27T09:18:18.224642753Z
324,317,-114.0102999566398,103675,92,40.00255333,116.3338217,-111,0.0,2018-12-27T09:18:24.044563554Z
320,318,-110.32474080687588,103677,93,40.00290833,116.3338967,-108,1.5,2018-12-27T09:18:29.629479705Z
320,318,-115.26749156458187,103683,96,40.00292333,116.3338967,-112,-0.5,2018-12-27T09:18:54.115436845Z
317,318,-105.45161530835512,103685,97,40.00316,116.3339517,-103,1.2,2018-12-27T09:18:59.864752352Z
309,321,-118.57833241382157,103689,99,40.003955,116.33423329999998,-112,-5.5,2018-12-27T09:19:11.068481315Z
299,325,-122.31329815912464,103691,100,40.00485,116.33468,-117,-3.8,2018-12-27T09:19:19.869893301Z
289,329,-117.53901891043868,103696,103,40.00574833,116.3351567,-115,1.0,2018-12-27T09:19:36.160254358Z
284,331,-113.76749156458187,103698,104,40.00614,116.3353683,-111,0.5,2018-12-27T09:19:41.931675273Z
284,331,-114.42869465226148,103702,107,40.00614833,116.3353683,-111,-0.8,2018-12-27T09:20:01.803415786Z
284,330,-113.91145114746678,103703,109,40.006165,116.33534329999999,-111,0.2,2018-12-27T09:20:17.951407194Z
284,330,-115.76749156458187,103704,110,40.00617167,116.33533829999999,-113,0.5,2018-12-27T09:20:23.617080531Z
284,331,-113.62869465226149,103705,111,40.00617333,116.3353483,-111,0.8,2018-12-27T09:20:29.223216107Z
284,331,-123.81209675612978,103708,113,40.00622333,116.3353783,-115,-8.2,2018-12-27T09:20:43.335582657Z
276,333,-121.33779541063677,103709,115,40.006879999999995,116.33568329999999,-112,-8.8,2018-12-27T09:20:54.221396114Z
267,337,-119.97322793708695,103711,116,40.00773667,116.33611670000002,-113,-6.0,2018-12-27T09:20:59.945404218Z
254,342,-135.06829128312452,103715,119,40.00891167,116.33671499999998,-117,-18.0,2018-12-27T09:21:24.937138371Z
254,343,-127.65142276599207,103717,120,40.00890833,116.3367317,-113,-14.5,2018-12-27T09:21:30.579936799Z
254,343,-122.0738221927363,103721,122,40.00891333,116.33673999999999,-113,-8.5,2018-12-27T09:21:44.488507885Z
250,344,-125.45410721860875,103723,123,40.00927667,116.3369183,-113,-12.2,2018-12-27T09:21:49.801690016Z
244,346,-127.45410721860875,103725,124,40.00975833,116.33714499999999,-115,-12.2,2018-12-27T09:21:59.161319613Z
236,349,-124.5149694202523,103728,126,40.01052167,116.3375183,-115,-9.0,2018-12-27T09:22:18.08304783Z
215,358,-133.30295006837878,103731,130,40.01244333,116.338485,-117,-16.2,2018-12-27T09:22:44.252797527Z
214,358,-129.1695428927953,103733,131,40.01253833,116.3385483,-115,-14.0,2018-12-27T09:22:49.440590405Z
214,358,-130.9127546295178,103737,133,40.012545,116.33854,-115,-15.8,2018-12-27T09:23:00.685579855Z
214,358,-126.79706163635328,103741,135,40.01254333,116.33853329999998,-115,-11.5,2018-12-27T09:23:11.17501175Z
214,359,-129.65142276599207,103743,136,40.01254167,116.33857169999999,-115,-14.5,2018-12-27T09:23:20.395396953Z
212,359,-131.5961540844014,103748,144,40.01268333,116.33863170000001,-115,-16.5,2018-12-27T09:24:24.554932549Z
212,359,-130.28197456784994,103749,145,40.01268667,116.3386633,-113,-17.2,2018-12-27T09:24:30.161366613Z
211,360,-134.25190230097223,103751,147,40.01280667,116.33873,-115,-19.2,2018-12-27T09:24:45.550860508Z
209,360,-133.2652406374628,103753,150,40.01296167,116.33878999999999,-115,-18.2,2018-12-27T09:25:07.177715111Z
207,361,-133.5961540844014,103755,153,40.01314167,116.33885500000001,-117,-16.5,2018-12-27T09:25:27.73581832Z
207,361,-124.51754855702923,103756,155,40.013185,116.3388767,-113,-11.2,2018-12-27T09:25:39.064407677Z
206,361,-123.46683163887968,103766,168,40.013234999999995,116.3389033,-115,-7.8,2018-12-27T09:27:06.605060159Z
201,313,-126.40304509533891,103773,177,40.013665,116.333175,-113,-13.2,2018-12-27T09:28:19.225478196Z
201,305,-127.9127546295178,103776,179,40.01364167,116.3322433,-112,-15.8,2018-12-27T09:28:39.745531035Z
199,296,-122.41392685158225,103778,182,40.013825,116.331175,-112,-10.0,2018-12-27T09:29:05.311453508Z
184,296,-127.9127546295178,103782,184,40.01517667,116.33116499999998,-112,-15.8,2018-12-27T09:29:20.27997076Z
178,296,-126.02214159641585,103784,186,40.01572833,116.33116670000001,-113,-12.8,2018-12-27T09:29:30.919523643Z
168,296,-130.28197456784994,103787,187,40.01658333,116.33114669999999,-113,-17.2,2018-12-27T09:29:39.683810529Z
147,295,-125.7376019773414,103790,190,40.018545,116.3310767,-113,-12.5,2018-12-27T09:30:05.533126734Z
135,295,-123.1469917995764,103791,191,40.01957167,116.33103670000001,-112,-10.8,2018-12-27T09:30:16.008152934Z
124,295,-124.79706163635328,103793,192,40.020604999999996,116.3309967,-113,-11.5,2018-12-27T09:30:25.835271317Z
112,294,-120.0738221927363,103794,193,40.02163,116.3309483,-111,-8.5,2018-12-27T09:30:36.230530155Z
101,294,-125.45410721860875,103795,194,40.02267333,116.330905,-113,-12.2,2018-12-27T09:30:45.310675514Z
76,294,-131.8568770879973,103796,196,40.024885,116.33083329999998,-113,-18.8,2018-12-27T09:30:59.925612595Z
58,294,-131.06829128312452,103797,199,40.02648,116.3309017,-113,-18.0,2018-12-27T09:31:20.62999996Z
58,294,-132.84523976698873,103798,204,40.02652333,116.3309033,-113,-19.8,2018-12-27T09:31:59.70982629Z
32,296,-129.5765510473101,103800,213,40.02887167,116.33103500000001,-112,-17.5,2018-12-27T09:33:03.792385207Z
26,296,-131.2652406374628,103801,216,40.02944333,116.33108999999999,-113,-18.2,2018-12-27T09:33:23.866170133Z
25,296,-126.94147873593693,103802,217,40.0295,116.3311,-112,-14.8,2018-12-27T09:33:33.378276621Z
24,296,-124.7376019773414,103803,221,40.02957167,116.3311233,-112,-12.5,2018-12-27T09:34:08.090663909Z
