Row,Column,ESP,ID,FrameCnt,Latitude,Longitude,RSSI,SNR,Time
355,275,-82.43249407632486,143270,234,39.99978,116.32893500000002,-82,9.8,2019-03-08T13:59:38.735986887Z
355,275,-80.5149694202523,143272,235,39.99979333,116.3289533,-80,9.0,2019-03-08T13:59:47.279308234Z
354,275,-82.5738221927363,143274,236,39.99983,116.3289233,-82,8.5,2019-03-08T13:59:56.777632221Z
354,275,-80.41392685158225,143278,238,39.99987,116.3288583,-80,10.0,2019-03-08T14:00:08.088967711Z
354,274,-80.43249407632486,143306,252,39.999855,116.328775,-80,9.8,2019-03-08T14:01:40.319034552Z
355,275,-80.66683163887967,143308,253,39.99979167,116.3289117,-80,7.8,2019-03-08T14:01:49.136246089Z
355,275,-81.63892034143379,143310,254,39.99976833,116.3288617,-81,8.0,2019-03-08T14:01:59.301471411Z
355,274,-83.5738221927363,143314,256,39.99973,116.3288117,-83,8.5,2019-03-08T14:02:14.07259158Z
356,275,-87.33195619988426,143318,258,39.99962833,116.3289617,-87,11.0,2019-03-08T14:02:30.145505164Z
356,276,-99.43249407632486,143320,259,39.99966833,116.3290767,-99,9.8,2019-03-08T14:02:36.152041216Z
356,277,-89.39612087980606,143324,261,39.99964,116.3291883,-89,10.2,2019-03-08T14:02:53.476921815Z
356,276,-89.29706163635328,143326,262,39.99963,116.32908,-89,11.5,2019-03-08T14:02:59.315507524Z
356,276,-88.33195619988426,143328,263,39.99965833,116.3290667,-88,11.0,2019-03-08T14:03:05.028980231Z
356,277,-94.43249407632486,143332,265,39.99968,116.3290867,-94,9.8,2019-03-08T14:03:22.833550668Z
355,275,-83.41392685158225,143334,266,39.99976,116.3289217,-83,10.0,2019-03-08T14:03:28.373455987Z
355,273,-83.43249407632486,143358,279,39.99979167,116.3286583,-83,9.8,2019-03-08T14:05:11.274229193Z
355,273,-82.3469917995764,143360,280,39.99977833,116.328695,-82,10.8,2019-03-08T14:05:20.701222609Z
354,273,-83.43249407632486,143362,281,39.99981167,116.3286883,-83,9.8,2019-03-08T14:05:30.194806558Z
357,276,-87.5738221927363,143376,288,39.9996,116.3290633,-87,8.5,2019-03-08T14:06:19.268046144Z
355,275,-87.46183611348222,143380,290,39.999715,116.3289217,-87,9.5,2019-03-08T14:06:35.214899719Z
354,274,-87.22214159641584,143384,292,39.99979833,116.32876670000002,-87,12.8,2019-03-08T15:18:24.970335762Z
352,269,-89.5149694202523,143413,308,39.999995,116.328245,-89,9.0,2019-03-08T14:08:53.62164Z
353,271,-81.3469917995764,143417,310,39.99996167,116.3283767,-81,10.8,2019-03-08T14:09:07.961984Z
353,271,-87.53779541063679,143419,311,39.99990833,116.3284883,-87,8.8,2019-03-08T14:09:17.160551Z
354,272,-82.5738221927363,143421,312,39.999835,116.3285817,-82,8.5,2019-03-08T14:09:26.721343Z
355,273,-89.5149694202523,143423,313,39.99973833,116.3287117,-89,9.0,2019-03-08T14:09:36.285325Z
355,275,-81.41392685158225,143431,317,39.99971333,116.3288567,-81,10.0,2019-03-08T14:10:02.305376Z
354,274,-87.39612087980606,143435,319,39.99982833,116.3287433,-87,10.2,2019-03-08T14:10:17.576376Z
357,277,-93.61209675612976,143439,321,39.99957333,116.3291483,-93,8.2,2019-03-08T14:10:36.704637Z
354,273,-83.43249407632486,143441,322,39.99981,116.32871670000002,-83,9.8,2019-03-08T14:10:46.860206Z
353,272,-86.3469917995764,143443,323,39.999905,116.3285117,-86,10.8,2019-03-08T14:10:52.055381Z
354,271,-105.3707776445072,143463,333,39.99979333,116.3283867,-105,10.5,2019-03-08T14:12:10.311151199Z
357,275,-85.46183611348224,143465,334,39.99952667,116.328915,-85,9.5,2019-03-08T14:12:19.216774049Z
359,277,-82.39612087980606,143469,336,39.99941667,116.3291267,-82,10.2,2019-03-08T14:12:34.29108538Z
359,277,-82.39612087980606,143471,337,39.99940333,116.3291583,-82,10.2,2019-03-08T14:12:43.319066128Z
359,277,-80.46183611348224,143473,338,39.99942833,116.3290967,-80,9.5,2019-03-08T14:12:53.018572832Z
359,277,-83.49305820175223,143475,339,39.99942667,116.3290933,-83,9.2,2019-03-08T14:12:58.168064487Z
358,276,-80.49305820175223,143477,340,39.99946167,116.3290183,-80,9.2,2019-03-08T14:13:06.88990299Z
357,274,-89.46183611348222,143479,341,39.99956167,116.3288267,-89,9.5,2019-03-08T14:13:16.007455932Z
355,272,-85.5149694202523,143483,343,39.99970333,116.32855,-85,9.0,2019-03-08T14:13:30.308374224Z
354,270,-83.5149694202523,143485,344,39.99983167,116.3282867,-83,9.0,2019-03-08T14:13:40.074158332Z
355,272,-83.2778545523916,143487,345,39.99972,116.3285183,-83,11.8,2019-03-08T14:13:48.730576424Z
357,274,-82.53779541063678,143489,346,39.999585,116.328795,-82,8.8,2019-03-08T14:13:59.350803842Z
356,273,-80.37077764450721,143493,348,39.99963667,116.3287233,-80,10.5,2019-03-08T14:14:13.099640103Z
356,273,-85.5149694202523,143495,349,39.99968333,116.3286517,-85,9.0,2019-03-08T14:14:22.011610895Z
355,273,-81.43249407632486,143497,350,39.99971,116.3286117,-81,9.8,2019-03-08T14:14:27.77434503Z
355,272,-87.66683163887969,143499,351,39.99973167,116.3285733,-87,7.8,2019-03-08T14:14:37.916776749Z
355,272,-89.53779541063679,143501,352,39.99975167,116.328525,-89,8.8,2019-03-08T14:14:46.551287448Z
356,272,-89.53779541063679,143505,354,39.99969667,116.328595,-89,8.8,2019-03-08T14:15:01.006855993Z
356,272,-89.61209675612976,143507,355,39.9997,116.3285817,-89,8.2,2019-03-08T14:15:11.335660664Z
355,272,-89.5738221927363,143509,356,39.99971833,116.3285483,-89,8.5,2019-03-08T14:15:17.01958298Z
355,272,-93.46183611348222,143513,358,39.99972333,116.328555,-93,9.5,2019-03-08T14:15:30.908908908Z
357,274,-93.41392685158225,143515,359,39.99959833,116.328805,-93,10.0,2019-03-08T14:15:36.594713594Z
358,276,-99.61209675612976,143519,361,39.99950333,116.32900829999998,-99,8.2,2019-03-08T14:15:50.396043396Z
358,276,-91.49305820175225,143523,363,39.99950167,116.32899170000002,-91,9.2,2019-03-08T14:16:09.178575178Z
357,275,-85.5738221927363,143525,364,39.99956,116.3288617,-85,8.5,2019-03-08T14:16:14.697365697Z
358,275,-97.27785455239159,143527,365,39.99952,116.32894170000002,-97,11.8,2019-03-08T14:16:20.457613457Z
358,275,-93.33195619988427,143531,367,39.99949833,116.32894170000002,-93,11.0,2019-03-08T14:16:31.54071854Z
358,276,-83.5738221927363,143533,368,39.99949833,116.3289817,-83,8.5,2019-03-08T14:16:40.72035272Z
357,275,-85.5149694202523,143535,369,39.99955333,116.328875,-85,9.0,2019-03-08T14:16:50.159050159Z
356,273,-87.33195619988426,143539,371,39.99964167,116.3286883,-87,11.0,2019-03-08T14:17:08.09021009Z
356,272,-83.46183611348224,143541,372,39.99968667,116.3286067,-83,9.5,2019-03-08T14:17:17.927446927Z
355,272,-87.5149694202523,143543,373,39.999725,116.3285533,-87,9.0,2019-03-08T14:17:27.73093773Z
355,272,-85.43249407632486,143545,374,39.99976333,116.3285467,-85,9.8,2019-03-08T14:17:33.637703637Z
355,272,-83.46183611348224,143549,376,39.999755,116.3285867,-83,9.5,2019-03-08T14:17:47.588558588Z
355,272,-83.63892034143379,143551,377,39.99976333,116.3285717,-83,8.0,2019-03-08T14:17:55.858189858Z
355,272,-83.3175485570292,143553,378,39.99978833,116.3285233,-83,11.2,2019-03-08T14:18:01.753533753Z
354,271,-87.63892034143379,143555,379,39.99980667,116.3284783,-87,8.0,2019-03-08T14:18:12.531548531Z
356,274,-82.37077764450721,143557,380,39.99962667,116.3287883,-82,10.5,2019-03-08T14:18:22.859635859Z
356,273,-83.66683163887967,143561,382,39.99968833,116.3286567,-83,7.8,2019-03-08T14:18:37.365852365Z
356,273,-81.43249407632486,143563,383,39.99969333,116.328625,-81,9.8,2019-03-08T14:18:46.016095016Z
356,274,-89.3469917995764,143565,384,39.999625,116.3287367,-89,10.8,2019-03-08T14:18:51.076194076Z
356,274,-89.49305820175225,143567,385,39.99962167,116.3287583,-89,9.2,2019-03-08T14:19:01.837811837Z
357,275,-95.53779541063679,143571,387,39.99956167,116.32887,-95,8.8,2019-03-08T14:19:18.285069285Z
357,274,-85.5149694202523,143573,388,39.999585,116.3288267,-85,9.0,2019-03-08T14:19:27.195037195Z
357,275,-95.46183611348222,143575,389,39.99956167,116.3288533,-95,9.5,2019-03-08T14:19:36.598607598Z
357,274,-111.5149694202523,143577,391,39.99958667,116.3287317,-111,9.0,2019-03-08T14:19:55.005798005Z
356,273,-93.63892034143379,143579,392,39.99966667,116.328625,-93,8.0,2019-03-08T14:20:04.324681324Z
358,276,-105.49305820175225,143581,393,39.99948333,116.32898,-105,9.2,2019-03-08T14:20:12.946875318Z
359,276,-99.53779541063679,143585,395,39.99943333,116.3290717,-99,8.8,2019-03-08T14:20:26.602170784Z
358,276,-93.5149694202523,143587,396,39.99947333,116.3290183,-93,9.0,2019-03-08T14:20:36.189436673Z
357,275,-105.43249407632486,143589,397,39.99957,116.3288633,-105,9.8,2019-03-08T14:20:41.760186678Z
355,272,-93.5738221927363,143593,399,39.99973833,116.32860829999998,-93,8.5,2019-03-08T14:20:52.522989339Z
354,271,-85.29706163635328,143597,401,39.99981500000001,116.3284617,-85,11.5,2019-03-08T14:21:03.138877027Z
355,272,-83.5738221927363,143599,402,39.99978,116.32851,-83,8.5,2019-03-08T14:21:11.396739222Z
