Row,Column,ESP,ID,FrameCnt,Latitude,Longitude,RSSI,SNR,Time
346,195,-123.33195619988427,166416,92,40.00048333,116.3194717,-112,-11.0,2019-03-11T05:31:57.621888487Z
303,212,-129.30295006837878,166873,45,40.00441333,116.3215017,-113,-16.2,2019-03-11T12:56:59.760245321Z
304,212,-125.9127546295178,166877,47,40.00431333,116.321525,-110,-15.8,2019-03-11T12:57:14.449056143Z
304,213,-120.41392685158225,166879,48,40.004285,116.3215717,-110,-10.0,2019-03-11T12:57:19.862211035Z
310,212,-123.51754855702923,166886,52,40.00373667,116.3215017,-112,-11.2,2019-03-11T12:57:49.035318247Z
314,212,-119.81209675612978,166888,53,40.00342,116.3215017,-111,-8.2,2019-03-11T12:57:54.106753747Z
317,212,-121.96183611348222,166890,54,40.0031,116.3215267,-112,-9.5,2019-03-11T12:58:04.27006389Z
321,213,-124.02214159641585,166892,55,40.002805,116.3215717,-111,-12.8,2019-03-11T12:58:13.940750585Z
325,213,-121.8707776445072,166894,56,40.00245167,116.3216267,-111,-10.5,2019-03-11T12:58:22.454055178Z
334,214,-106.42869465226148,166900,60,40.00157333,116.3217117,-103,-0.8,2019-03-11T12:58:53.137884965Z
340,214,-111.93775920356249,166904,62,40.00105333,116.3217317,-110,2.5,2019-03-11T12:59:04.832405826Z
344,215,-113.60373555853748,166906,63,40.000695,116.3218083,-112,3.5,2019-03-11T12:59:10.664042648Z
348,215,-115.93380807687734,166908,64,40.0003,116.3218217,-115,6.2,2019-03-11T12:59:21.092508647Z
352,215,-110.01412565612068,166910,65,39.99995833,116.3218517,-109,5.8,2019-03-11T12:59:31.550644854Z
357,215,-105.07833241382157,166914,67,39.99953667,116.3219267,-104,5.5,2019-03-11T12:59:51.800411602Z
366,215,-94.7108185264953,166920,70,39.99871333,116.3219133,-94,7.5,2019-03-11T13:00:16.227689593Z
369,215,-89.93380807687734,166922,71,39.99841,116.3219433,-89,6.2,2019-03-11T13:00:21.873206112Z
373,216,-102.14609373817282,166924,72,39.99807167,116.32203,-101,5.2,2019-03-11T13:00:31.842187895Z
376,216,-101.75746206410165,166926,73,39.99784167,116.3219983,-101,7.2,2019-03-11T13:00:40.721180048Z
376,216,-97.5738221927363,166932,76,39.99781,116.32196670000002,-97,8.5,2019-03-11T13:00:57.06581346Z
376,216,-111.53779541063679,166934,77,39.99782,116.3219583,-111,8.8,2019-03-11T13:01:07.470168291Z
377,216,-108.07833241382157,166936,78,39.99768667,116.3219733,-107,5.5,2019-03-11T13:01:17.93718656Z
381,216,-100.51329815912464,166938,79,39.99739,116.32201670000002,-99,3.8,2019-03-11T13:01:27.549650847Z
384,216,-106.62869465226149,166940,80,39.99710167,116.3220567,-104,0.8,2019-03-11T13:01:38.021067147Z
387,217,-108.76749156458187,166942,81,39.99681667,116.322125,-106,0.5,2019-03-11T14:13:22.992307946Z
391,217,-111.93775920356249,166944,82,39.99650333,116.32217,-110,2.5,2019-03-11T13:01:58.173427213Z
394,218,-106.62869465226149,166946,83,39.99619167,116.322205,-104,0.8,2019-03-11T13:02:07.18860032Z
396,218,-113.83215008122022,166948,84,39.99601667,116.3223067,-112,2.8,2019-03-11T14:13:51.995658969Z
396,220,-113.53901891043868,166950,85,39.996045,116.3225167,-110,-1.0,2019-03-11T13:02:26.053026371Z
397,223,-107.04814186348229,166954,87,39.99597167,116.3228567,-105,2.2,2019-03-11T13:02:40.506395544Z
396,226,-105.14609373817282,166956,88,39.99600667,116.3231967,-104,5.2,2019-03-11T13:02:45.662106634Z
396,228,-114.00289472231206,166960,90,39.99598167,116.323485,-110,-1.8,2019-03-11T13:03:00.399192794Z
396,232,-107.69859540490393,166962,91,39.99598167,116.32386,-106,3.2,2019-03-11T13:03:05.554428881Z
397,234,-102.19331048066094,166966,93,39.99597,116.3241667,-101,5.0,2019-03-11T13:03:19.23002761Z
397,238,-100.75746206410165,166968,94,39.995985,116.3246233,-100,7.2,2019-03-11T13:03:25.102246715Z
396,239,-94.75746206410165,166972,96,39.99598667,116.3247483,-94,7.2,2019-03-11T13:03:39.679408755Z
398,239,-103.60373555853748,166974,97,39.99580833,116.3247733,-102,3.5,2019-03-11T14:15:23.994825963Z
401,239,-111.76749156458187,166978,99,39.99556167,116.32470829999998,-109,0.5,2019-03-11T13:04:04.471234298Z
402,238,-108.3993868649763,166982,102,39.995465,116.324655,-107,4.2,2019-03-11T13:04:31.64439051Z
402,238,-113.93775920356249,166984,103,39.99549167,116.32463,-112,2.5,2019-03-11T13:04:40.738331168Z
403,238,-113.2422083724146,166985,104,39.99544167,116.32463,-112,4.8,2019-03-11T13:04:46.449445146Z
402,238,-113.82474080687588,166988,106,39.99547000000001,116.3246167,-110,-1.5,2019-03-11T13:04:57.640370482Z
