Row,Column,ESP,ID,FrameCnt,Latitude,Longitude,RSSI,SNR,Time
339,198,-107.76749156458187,171548,17,40.00117,116.3198717,-105,0.5,2019-03-14T04:29:12.379982899Z
350,199,-113.42869465226148,171550,18,40.00011667,116.32005,-110,-0.8,2019-03-14T04:29:21.41808809Z
353,223,-89.66683163887969,171572,29,39.99991167,116.322755,-89,7.8,2019-03-14T04:30:36.57417887Z
355,270,-75.33195619988426,171654,13,39.99973167,116.3283717,-75,11.0,2019-03-14T05:44:46.815090664Z
355,270,-64.3469917995764,171655,14,39.99974,116.328375,-64,10.8,2019-03-14T05:44:56.148400664Z
355,270,-62.31754855702921,171659,16,39.99976333,116.3283567,-62,11.2,2019-03-14T05:45:11.701718684Z
355,270,-67.3469917995764,171661,17,39.99976833,116.3283567,-67,10.8,2019-03-14T05:45:17.14775067Z
354,270,-63.46183611348225,171665,19,39.99987167,116.32833829999998,-63,9.5,2019-03-14T05:45:28.258402674Z
354,268,-58.39612087980606,171669,21,39.99986,116.3280933,-58,10.2,2019-03-14T05:45:39.329033038Z
354,263,-64.2778545523916,171671,22,39.99978667,116.327535,-64,11.8,2019-03-14T05:45:48.877061106Z
354,259,-63.254107218608745,171673,23,39.99981667,116.327,-63,12.2,2019-03-14T05:45:58.940028179Z
354,255,-67.29706163635328,171675,24,39.99986167,116.3265067,-67,11.5,2019-03-14T05:46:08.894317317Z
354,251,-70.43249407632486,171679,26,39.999825,116.3260467,-70,9.8,2019-03-14T05:46:19.631967104Z
354,247,-71.46183611348224,171681,27,39.99981167,116.325595,-71,9.5,2019-03-14T05:46:29.596073211Z
354,238,-88.41392685158225,171686,30,39.99979667,116.3245717,-88,10.0,2019-03-14T05:46:49.149254552Z
354,234,-87.61209675612976,171690,32,39.99977333,116.3241567,-87,8.2,2019-03-14T05:47:07.310385068Z
355,231,-92.93380807687734,171692,33,39.99969167,116.32372,-92,6.2,2019-03-14T06:58:47.924514226Z
354,227,-107.7108185264953,171694,34,39.99982,116.3232417,-107,7.5,2019-03-14T05:47:22.321552035Z
354,223,-97.07833241382157,171696,35,39.99984167,116.32283,-96,5.5,2019-03-14T05:47:31.932200203Z
353,219,-113.2422083724146,171698,36,39.99992833,116.32234,-112,4.8,2019-03-14T05:47:41.153576539Z
353,215,-108.31879480002064,171702,38,39.99992667,116.3218317,-107,4.5,2019-03-14T05:47:51.947512157Z
353,210,-102.45540463109293,171704,39,39.99985,116.3213233,-101,4.0,2019-03-14T05:48:00.386782839Z
355,208,-105.75746206410165,171706,40,39.99968833,116.3211083,-105,7.2,2019-03-14T05:48:10.302131093Z
356,211,-97.49305820175225,171710,42,39.99964833,116.32146000000002,-97,9.2,2019-03-14T05:48:25.193640419Z
356,215,-99.97322793708695,171712,43,39.99959667,116.321885,-99,6.0,2019-03-14T05:48:33.77653667Z
353,216,-111.62869465226149,171714,44,39.99987167,116.3219367,-109,0.8,2019-03-14T05:48:39.227671316Z
349,215,-109.53901891043868,171718,46,40.00025667,116.3218883,-107,1.0,2019-03-14T05:48:50.200410398Z
344,215,-114.26749156458187,171723,48,40.00065833,116.3218617,-111,-0.5,2019-03-14T05:49:02.03978488Z
340,215,-116.63215008122023,171727,50,40.00103167,116.32184,-112,-2.8,2019-03-14T05:49:13.153926538Z
336,214,-128.97737218601958,171731,52,40.00139333,116.32174170000002,-115,-13.8,2019-03-14T05:49:28.274863175Z
336,210,-128.40304509533888,171733,53,40.00142167,116.3213267,-115,-13.2,2019-03-14T05:49:34.214792355Z
336,206,-119.97322793708695,171734,54,40.00139667,116.320815,-113,-6.0,2019-03-14T05:49:44.823984528Z
337,205,-116.10373555853748,171737,55,40.001345,116.3206967,-111,-3.5,2019-03-14T05:49:49.870213389Z
337,205,-118.04220837241459,171741,57,40.00135333,116.3206767,-112,-4.8,2019-03-14T05:50:01.059011822Z
337,204,-131.84523976698873,171742,58,40.00134833,116.3206283,-112,-19.8,2019-03-14T05:50:11.297310108Z
337,204,-124.69305820175224,171744,60,40.00128833,116.3205167,-115,-9.2,2019-03-14T05:50:22.157116528Z
338,203,-129.5961540844014,171747,64,40.00122167,116.32047,-113,-16.5,2019-03-14T05:50:52.905762471Z
336,205,-117.5993868649763,171821,116,40.00139667,116.320665,-112,-4.2,2019-03-14T07:09:20.956732999Z
336,205,-119.62401015882706,171823,117,40.00138833,116.3206433,-112,-6.8,2019-03-14T05:57:55.336318Z
336,204,-127.26572375596102,171825,118,40.00141167,116.3206233,-115,-12.0,2019-03-14T05:58:06.063969Z
336,205,-119.62401015882706,171829,120,40.001455,116.3206917,-112,-6.8,2019-03-14T05:58:17.164553Z
335,207,-123.1469917995764,171831,121,40.00154833,116.3208667,-112,-10.8,2019-03-14T05:58:27.054763Z
334,203,-121.5149694202523,171835,123,40.001585,116.320415,-112,-9.0,2019-03-14T05:58:40.957936789Z
335,200,-121.33779541063677,171837,124,40.00149667,116.320125,-112,-8.8,2019-03-14T05:58:49.064801324Z
